SSA State/County Code	Facility or Service Type	Specialty Code	National Provider Identifier (NPI) Number	"# of Staffed, Medicare-Certified Beds"	Facility Name	Provider Service Street Address	Provider Service City	Provider Service State	Provider Service Zip Code
33610	Physical Therapy	049	9999999999	0	Richmond University Medical Center	355 Bard Ave	Staten Island	NY	10310
33610	Speech Therapy	051	9999999999	0	Richmond University Medical Center	355 Bard Ave	Staten Island	NY	10310
33610	Outpatient Infusion/Chemotherapy	057	9999999999	0	Richmond University Medical Center	355 Bard AveNA	Staten Island	NY	10310
33610	Skilled Nursing Facilities	046	9999999999	144	NYC Health + Hospitals/ Seaview	460 Brielle Avenue 	Staten Island	NY	10314
33610	Occupational Therapy	050	9999999999	0	Richmond University Medical Center	355 Bard Ave	Staten Island	NY	10310
33610	Outpatient Dialysis	044	1932590312	0	"Knickerbocker Dialysis, Inc."	Richmond Kidney Center	Staten Island	NY	10301
33610	Outpatient Dialysis	044	1932590312	0	"Knickerbocker Dialysis, Inc."	Staten Island Dialysis Center	Staten Island	NY	10305
33610	Outpatient Dialysis	044	1932135571	0	"Knickerbocker Dialysis, Inc."	Richmond Kidney Center	Staten Island	NY	10301
33610	Outpatient Dialysis	044	1932135571	0	"Knickerbocker Dialysis, Inc."	Staten Island Dialysis Center	Staten Island	NY	10305
33610	Diagnostic Radiology	047	1912925199	0	Staten Island University Hospital- South Campus	375 Seguine Avenue	Staten Island	NY	10309
33610	Diagnostic Radiology	047	1912925199	0	Staten Island University Hospital- North Campus	475 Seaview Avenue	Staten Island	NY	10305
33610	Critical Care Services/Intensive Care Units	043	1912925199	0	Staten Island University Hospital- North Campus	475 Seaview Avenue	Staten Island	NY	10305
33610	Cardiac Surgery Program	041	1912925199	0	Staten Island University Hospital- South Campus	375 Seguine Avenue	Staten Island	NY	10309
33610	Surgical Services	045	1912925199	0	Staten Island University Hospital- North Campus	475 Seaview Avenue	Staten Island	NY	10305
33610	Surgical Services	045	1912925199	0	Staten Island University Hospital- South Campus	375 Seguine Avenue	Staten Island	NY	10309
33610	Cardiac Surgery Program	041	1912925199	0	Staten Island University Hospital- North Campus	475 Seaview Avenue	Staten Island	NY	10305
33610	Cardiac Catheterization Services	042	1912925199	0	Staten Island University Hospital- South Campus	375 Seguine Avenue	Staten Island	NY	10309
33610	Cardiac Catheterization Services	042	1912925199	0	Staten Island University Hospital- North Campus	475 Seaview Avenue	Staten Island	NY	10305
33610	Critical Care Services/Intensive Care Units	043	1912925199	0	Staten Island University Hospital- South Campus	375 Seguine Avenue	Staten Island	NY	10309
33610	Outpatient Dialysis	044	1902841513	0	"Knickerbocker Dialysis, Inc."	Staten Island Dialysis Center	Staten Island	NY	10305
33610	Outpatient Dialysis	044	1902841513	0	"Knickerbocker Dialysis, Inc."	Richmond Kidney Center	Staten Island	NY	10301
33610	Outpatient Dialysis	044	1891721940	0	"Knickerbocker Dialysis, Inc."	Richmond Kidney Center	Staten Island	NY	10301
33610	Outpatient Dialysis	044	1891721940	0	"Knickerbocker Dialysis, Inc."	Staten Island Dialysis Center	Staten Island	NY	10305
33610	Outpatient Dialysis	044	1871520361	0	"Knickerbocker Dialysis, Inc."	Staten Island Dialysis Center	Staten Island	NY	10305
33610	Outpatient Dialysis	044	1871520361	0	"Knickerbocker Dialysis, Inc."	Richmond Kidney Center	Staten Island	NY	10301
33610	Outpatient Dialysis	044	1811933278	0	"Knickerbocker Dialysis, Inc."	Staten Island Dialysis Center	Staten Island	NY	10305
33610	Outpatient Dialysis	044	1811933278	0	"Knickerbocker Dialysis, Inc."	Richmond Kidney Center	Staten Island	NY	10301
33610	Mammography	048	1811054042	0	Richmond University Medical Center	355 Bard Avenue	Staten Island	NY	10310
33610	Outpatient Dialysis	044	1801822929	0	"Knickerbocker Dialysis, Inc."	Staten Island Dialysis Center	Staten Island	NY	10305
33610	Outpatient Dialysis	044	1801822929	0	"Knickerbocker Dialysis, Inc."	Richmond Kidney Center	Staten Island	NY	10301
33610	Outpatient Dialysis	044	1770528432	0	"Knickerbocker Dialysis, Inc."	Richmond Kidney Center	Staten Island	NY	10301
33610	Outpatient Dialysis	044	1770528432	0	"Knickerbocker Dialysis, Inc."	Staten Island Dialysis Center	Staten Island	NY	10305
